Time	Aries
"2017-02-23"	5
"2017-03-25"	11
"2017-04-24"	9
"2017-05-24"	8
"2017-06-23"	12
"2017-07-23"	12
"2017-08-22"	12
"2017-09-21"	10
"2017-10-21"	9
"2017-11-20"	7
"2017-12-20"	7
"2018-01-19"	8
"2018-02-18"	18
"2018-03-20"	21
"2018-04-19"	21
"2018-05-19"	26
"2018-06-18"	28
"2018-07-18"	29
"2018-08-17"	20
"2018-09-16"	16
"2018-10-16"	9
"2018-11-15"	7
"2018-12-15"	10
"2019-01-14"	15
"2019-02-13"	8
"2019-03-15"	12
"2019-04-14"	14
"2019-05-14"	22
"2019-06-13"	25
"2019-07-13"	26
"2019-08-12"	32
"2019-09-11"	38
"2019-10-11"	45
"2019-11-10"	41
"2019-12-10"	34
"2020-01-09"	42
"2020-02-08"	45
"2020-03-09"	42
"2020-04-08"	31
"2020-05-08"	41
"2020-06-07"	33
"2020-07-07"	37
"2020-08-06"	29
"2020-09-05"	27
"2020-10-05"	31
"2020-11-04"	27
"2020-12-04"	28
"2021-01-03"	27
"2021-02-02"	33
"2021-03-04"	29
"2021-04-03"	14
