Time	Indy
"2016-01-30"	8
"2016-02-29"	6
"2016-03-30"	5
"2016-04-29"	7
"2016-05-29"	8
"2016-06-28"	8
"2016-07-28"	7
"2016-08-27"	9
"2016-09-26"	15
"2016-10-26"	7
"2016-11-25"	9
"2016-12-25"	11
"2017-01-24"	22
"2017-02-23"	22
"2017-03-25"	24
"2017-04-24"	19
"2017-05-24"	23
"2017-06-23"	28
"2017-07-23"	26
"2017-08-22"	27
"2017-09-21"	19
"2017-10-21"	24
"2017-11-20"	20
"2017-12-20"	24
"2018-01-19"	25
"2018-02-18"	30
"2018-03-20"	38
"2018-04-19"	45
"2018-05-19"	53
"2018-06-18"	51
"2018-07-18"	52
"2018-08-17"	46
"2018-09-16"	47
"2018-10-16"	45
"2018-11-15"	37
"2018-12-15"	32
"2019-01-14"	43
"2019-02-13"	52
"2019-03-15"	39
"2019-04-14"	36
"2019-05-14"	27
"2019-06-13"	27
"2019-07-13"	24
"2019-08-12"	23
"2019-09-11"	22
"2019-10-11"	16
"2019-11-10"	13
"2019-12-10"	19
"2020-01-09"	18
"2020-02-08"	18
"2020-03-09"	12
"2020-04-08"	12
"2020-05-08"	12
"2020-06-07"	13
"2020-07-07"	11
"2020-08-06"	8
"2020-09-05"	5
"2020-10-05"	8
"2020-11-04"	12
"2020-12-04"	5
"2021-01-03"	7
"2021-02-02"	12
"2021-03-04"	12
"2021-04-03"	3
