Time	Ursa
"2017-08-22"	3
"2017-09-21"	2
"2017-10-21"	2
"2017-11-20"	3
"2017-12-20"	2
"2018-01-19"	3
"2018-02-18"	2
"2018-03-20"	4
"2018-04-19"	4
"2018-05-19"	2
"2018-06-18"	4
"2018-07-18"	4
"2018-08-17"	4
"2018-09-16"	1
"2018-10-16"	2
"2018-11-15"	5
"2018-12-15"	4
"2019-01-14"	2
"2019-02-13"	3
"2019-03-15"	1
"2019-04-14"	3
"2019-05-14"	3
"2019-06-13"	4
"2019-07-13"	7
"2019-08-12"	5
"2019-09-11"	6
"2019-10-11"	2
"2019-11-10"	3
"2019-12-10"	3
"2020-01-09"	5
"2020-02-08"	5
"2020-03-09"	6
"2020-04-08"	5
"2020-05-08"	4
"2020-06-07"	6
"2020-07-07"	3
"2020-08-06"	1
"2020-09-05"	5
"2020-10-05"	2
"2020-11-04"	4
"2020-12-04"	4
"2021-01-03"	2
"2021-02-02"	3
"2021-03-04"	3
